state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,non_hispanic_white_pop,state_code,year,ideo_vector,ideo_mean
New Jersey,9288994,5112280,9288994,7286419,2002575,4816381,34,2020,"[0.166, -0.404, -0.403, -0.425, -0.626, -0.14800000000000002, -0.285, -0.275, -0.198, -0.366, -0.518, 0.218, -0.3670000000000001, -0.591]",-0.3015714285714286
New Mexico,2117522,1078937,2117522,1106711,1010811,772952,35,2020,"[-0.332, 0.936, -0.438, -0.428, -0.33, -0.368]",-0.15999999999999998
New Mexico,1819046,1214253,1819046,1053660,765386,813495,35,2000,"[0.301, 0.247, -0.453, 0.257, -0.266]",0.017200000000000003
New Mexico,2059179,1407876,2059179,1105776,953403,833810,35,2010,"[-0.33, -0.142, -0.368, -0.266, -0.453]",-0.31179999999999997
New York,19378102,12740974,19378102,15961180,3416922,11304247,36,2010,"[-0.514, -0.429, -0.519, -0.465, -0.408, -0.389, -0.334, -0.338, -0.34700000000000003, -0.614, -0.319, -0.473, -0.206, -0.156, -0.42, -0.19, 0.313, -0.201, -0.11, -0.182, 0.274, -0.491, 0.259, -0.508, -0.547, -0.387, -0.575, -0.294, -0.414, -0.412, -0.408, 0.225, -0.359, -0.473, -0.3670000000000001]",-0.3079428571428572
New York,18976457,12893689,18976457,16108874,2867583,11760981,36,2000,"[-0.514, 0.043, -0.35700000000000004, -0.429, 0.103, -0.569, -0.519, 0.154, -0.465, -0.408, -0.389, -0.369, 0.208, -0.491, 0.21600000000000005, 0.259, -0.508, -0.547, -0.387, -0.575, 0.198, 0.109, 0.231, -0.294, 0.426, -0.414, -0.412, -0.408, 0.249, 0.349, 0.225, -0.16699999999999998, -0.301, -0.359]",-0.17976470588235294
New York,20201249,11143349,20201249,16253217,3948032,10598907,36,2020,"[-0.34700000000000003, -0.614, -0.42, 0.274, -0.376, -0.489, -0.238, 0.396, -0.287, 0.24, 0.195, -0.616, -0.215, 0.322, -0.338, -0.231, -0.239, 0.331, -0.317, 0.269, -0.514, 0.26, -0.536, -0.508, -0.547, -0.387, -0.414, -0.359, -0.473]",-0.2130344827586207
North Carolina,8049313,5804656,8049313,7670350,378963,5647155,37,2000,"[0.52, 0.464, -0.343, 0.488, -0.459, -0.526, 0.244, 0.441, 0.56, -0.28800000000000003, -0.14800000000000002, 0.35100000000000003, 0.631, -0.29100000000000004]",0.11742857142857144
North Carolina,9535483,6528950,9535483,8735363,800120,6223995,37,2010,"[0.52, -0.343, -0.403, -0.376, 0.628, 0.545, -0.07, -0.182, -0.526, 0.244, 0.56, -0.28800000000000003, -0.14800000000000002, 0.441, -0.202]",0.026666666666666658
North Carolina,10439388,6488459,10439388,9320792,1118596,6312148,37,2020,"[-0.343, -0.403, 0.628, 0.545, 0.568, 0.573, -0.465, 0.6779999999999999, 0.7609999999999999, 0.484, 0.513, -0.332, -0.314, 0.441, 0.423]",0.25046666666666667
North Dakota,642200,593181,642200,634414,7786,589149,38,2000,"[-0.266, -0.267, -0.29600000000000004]",-0.2763333333333334
North Dakota,779094,645938,779094,745682,33412,636160,38,2020,"[0.482, 0.392, 0.36]",0.41133333333333333
North Dakota,672591,605449,672591,659124,13467,598007,38,2010,"[-0.266, -0.267, -0.29600000000000004]",-0.2763333333333334
Ohio,11536504,9539437,11536504,11181830,354674,9359263,39,2010,"[-0.35, 0.386, 0.275, -0.402, 0.467, 0.718, -0.321, -0.44, -0.16699999999999998, 0.516, -0.184, 0.3670000000000001, -0.581, -0.318, -0.185, 0.513, 0.211, -0.5820000000000001, -0.428, 0.239]",-0.013299999999999996
Ohio,11353140,9645453,11353140,11136017,217123,9538111,39,2000,"[0.221, -0.28, 0.382, -0.35, 0.314, -0.08199999999999999, -0.377, 0.254, 0.315, 0.513, 0.369, -0.428, 0.32, 0.564, 0.269, 0.211, -0.384, -0.5820000000000001, -0.521, 0.289, 0.239]",0.0598095238095238
Ohio,11799448,9080688,11799448,11278140,521308,8954135,39,2020,"[-0.35, 0.275, -0.402, 0.718, 0.516, -0.581, 0.4270000000000001, 0.3, 0.477, 0.544, -0.433, 0.263, 0.6829999999999999, 0.418, 0.274, 0.564, 0.369, -0.428]",0.2018888888888889
Oklahoma,3959353,2514885,3959353,3487422,471931,2407188,40,2020,"[0.332, 0.52, 0.685, 0.384, 0.363, 0.555, 0.595]",0.4905714285714286
